# SynthV/synth3 synthetic spectrum, Teff = 5215 K, log g = 3.55, normalized; decimated by 2 to 0.013 A/px (0.6 km/s at 6000 A, still oversampling the 1 km/s TODCOR grid)
# cut from 5215K_logg355.prf over 5650-6850 A, every 2th point
# wavelength [Angstrom, air]  normalized flux
5661.4301  0.971027
5661.4414  0.981293
5661.4527  0.985584
5661.4640  0.988007
5661.4753  0.990158
5661.4867  0.992253
5661.4980  0.994282
5661.5093  0.996074
5661.5206  0.997270
5661.5320  0.998377
5661.5433  0.998787
5661.5546  0.999197
5661.5659  0.999294
5661.5773  0.999372
5661.5886  0.999449
5661.5999  0.999527
5661.6112  0.999546
5661.6225  0.999527
5661.6339  0.999507
5661.6452  0.999488
5661.6565  0.999475
5661.6678  0.999484
5661.6792  0.999493
5661.6905  0.999502
5661.7018  0.999511
5661.7131  0.999519
5661.7245  0.999528
5661.7358  0.999537
5661.7471  0.999546
5661.7584  0.999361
5661.7698  0.999028
5661.7811  0.998695
5661.7924  0.998362
5661.8037  0.998028
5661.8150  0.997695
5661.8264  0.997362
5661.8377  0.997029
5661.8490  0.996696
5661.8603  0.998996
5661.8717  0.998521
5661.8830  0.997371
5661.8943  0.994955
5661.9056  0.990097
5661.9170  0.982154
5661.9283  0.970588
5661.9396  0.956941
5661.9509  0.944138
5661.9623  0.935267
5661.9736  0.933653
5661.9849  0.939436
5661.9962  0.950885
5662.0076  0.964122
5662.0189  0.976475
5662.0302  0.985022
5662.0415  0.988573
5662.0528  0.985470
5662.0642  0.972194
5662.0755  0.941559
5662.0868  0.886607
5662.0981  0.806489
5662.1095  0.713179
5662.1208  0.625470
5662.1321  0.560242
5662.1434  0.525383
5662.1548  0.522641
5662.1661  0.552491
5662.1774  0.613005
5662.1887  0.698042
5662.2001  0.791922
5662.2114  0.874870
5662.2227  0.933986
5662.2340  0.967915
5662.2454  0.984846
5662.2567  0.991432
5662.2680  0.994131
5662.2793  0.994749
5662.2907  0.994957
5662.3020  0.994674
5662.3133  0.994308
5662.3246  0.993687
5662.3360  0.992951
5662.3473  0.991948
5662.3586  0.990692
5662.3699  0.988742
5662.3813  0.985284
5662.3926  0.977620
5662.4039  0.958079
5662.4152  0.906251
5662.4266  0.794181
5662.4379  0.615707
5662.4492  0.431051
5662.4605  0.306522
5662.4719  0.240908
5662.4832  0.207023
5662.4945  0.188636
5662.5058  0.179336
5662.5172  0.176964
5662.5285  0.180927
5662.5398  0.192083
5662.5511  0.213306
5662.5625  0.252782
5662.5738  0.329889
5662.5851  0.470820
5662.5964  0.660963
5662.6078  0.825671
5662.6191  0.920891
5662.6304  0.962366
5662.6417  0.978886
5662.6531  0.985394
5662.6644  0.988734
5662.6757  0.990622
5662.6870  0.991624
5662.6984  0.992614
5662.7097  0.993603
5662.7210  0.994014
5662.7323  0.994391
5662.7437  0.994769
5662.7550  0.994785
5662.7663  0.994410
5662.7776  0.993490
5662.7890  0.990538
5662.8003  0.983648
5662.8116  0.968032
5662.8229  0.937765
5662.8343  0.884133
5662.8456  0.799207
5662.8569  0.682266
5662.8682  0.551638
5662.8796  0.436456
5662.8909  0.354630
5662.9022  0.303847
5662.9135  0.275644
5662.9249  0.264035
5662.9362  0.266269
5662.9475  0.283549
5662.9588  0.321959
5662.9702  0.393388
5662.9815  0.510182
5662.9928  0.662810
5663.0042  0.808984
